Fuc,Hex,HexNAc,N-core,Neu5Ac,Massindex,Isobar,Hit,DM5,Exp. Mass,Theo. Mass,Da.,ppm,ch_A,ch_B
1,4,2,2,1,39,7748,3,2,150355.10666511217,150357.49394000001,-2.387274887849344,-15.877325601090314,G2FSA1,Man5
1,4,2,2,1,60,19422,2,3,151314.79268480738,151314.49394000001,0.2987448073690757,1.9743304133676416,Man5,G2FSA1
1,4,2,2,1,60,19422,2,3,151314.79268480738,151314.49394000001,0.2987448073690757,1.9743304133676416,G2FSA1,Man5
1,4,2,2,1,76,33746,1,4,152271.13437184936,152271.49394000001,-0.35956815065583214,-2.3613622047834757,Man5,G2FSA1
1,4,2,2,1,76,33746,1,4,152271.13437184936,152271.49394000001,-0.35956815065583214,-2.3613622047834757,G2FSA1,Man5
1,4,2,2,1,93,61490,2,5,153229.46272305222,153228.49394000001,0.9687830522016156,6.3224732377841155,Man5,G2FSA1
1,4,2,2,1,93,61490,2,5,153229.46272305222,153228.49394000001,0.9687830522016156,6.3224732377841155,G2FSA1,Man5
1,4,2,2,1,112,102611,1,6,154185.59506583543,154185.49394000001,0.10112583541194908,0.6558712679631286,Man5,G2FSA1
1,4,2,2,1,112,102611,1,6,154185.59506583543,154185.49394000001,0.10112583541194908,0.6558712679631286,G2FSA1,Man5
1,4,2,2,1,130,160844,2,7,155139.01643734053,155142.49394000001,-3.4775026594870724,-22.414894663430935,Man5,G2FSA1
1,4,2,2,1,130,160844,2,7,155139.01643734053,155142.49394000001,-3.4775026594870724,-22.414894663430935,G2FSA1,Man5
1,4,2,2,1,131,160844,4,7,155142.634758777,155142.49394000001,0.1408187769993674,0.9076737998928122,Man5,G2FSA1
1,4,2,2,1,131,160844,4,7,155142.634758777,155142.49394000001,0.1408187769993674,0.9076737998928122,G2FSA1,Man5
1,4,2,2,2,136,186019,2,7,155429.40974939967,155433.749,-4.339250600343803,-27.917042651681793,Man5,G2FSA2
1,4,2,2,2,136,186019,2,7,155429.40974939967,155433.749,-4.339250600343803,-27.917042651681793,G2FSA2,Man5
1,4,2,2,2,150,257111,2,8,156390.2175663397,156390.749,-0.5314336603041738,-3.398114426219506,Man5,G2FSA2
1,4,2,2,2,150,257111,2,8,156390.2175663397,156390.749,-0.5314336603041738,-3.398114426219506,G2FSA2,Man5
2,0,4,2,0,0,6,2,0,148057.1222284416,148056.20272,0.9195084416132886,6.210536436303441,G0F,G0F
2,0,4,2,0,15,1504,1,1,149015.9951795619,149013.20272,2.792459561896976,18.73967884002927,G0F,G0F
2,0,4,2,0,30,5008,0,2,149973.7963199659,149970.20272,3.59359996591229,23.96209314073994,G0F,G0F
2,0,4,2,0,51,13967,1,3,150932.06168437877,150927.20272,4.8589643787709065,32.19409285538308,G0F,G0F
2,0,4,2,0,102,81465,0,6,153802.91677145238,153798.20272,4.714051452378044,30.650887780270697,G0F,G0F
2,0,4,2,0,121,130664,0,7,154758.75341103267,154755.20272,3.5506910326657817,22.943920270584243,G0F,G0F
2,1,4,2,0,2,137,1,0,148220.11221041108,148218.34356,1.768650411075214,11.932736317210628,G0F,G1F
2,1,4,2,0,2,137,1,0,148220.11221041108,148218.34356,1.768650411075214,11.932736317210628,G1F,G0F
2,1,4,2,0,17,1879,1,1,149179.3994651312,149175.34356,4.0559051311865915,27.18884390941765,G0F,G1F
2,1,4,2,0,17,1879,1,1,149179.3994651312,149175.34356,4.0559051311865915,27.18884390941765,G1F,G0F
2,1,4,2,0,34,6085,2,2,150135.33079899504,150132.34356,2.987238995032385,19.897371373800894,G0F,G1F
2,1,4,2,0,34,6085,2,2,150135.33079899504,150132.34356,2.987238995032385,19.897371373800894,G1F,G0F
2,1,4,2,0,55,16304,1,3,151092.44718253316,151089.34356,3.1036225331481546,20.541637550471293,G0F,G1F
2,1,4,2,0,55,16304,1,3,151092.44718253316,151089.34356,3.1036225331481546,20.541637550471293,G1F,G0F
2,1,4,2,0,72,30516,0,4,152049.58917274975,152046.34356,3.245612749742577,21.346207174405375,G0F,G1F
2,1,4,2,0,72,30516,0,4,152049.58917274975,152046.34356,3.245612749742577,21.346207174405375,G1F,G0F
2,1,4,2,0,87,51306,1,5,153007.3612851499,153003.34356,4.01772514989716,26.25906765443734,G0F,G1F
2,1,4,2,0,87,51306,1,5,153007.3612851499,153003.34356,4.01772514989716,26.25906765443734,G1F,G0F
2,1,4,2,0,125,143424,1,7,154920.97174631234,154917.34356,3.6281863123294897,23.420142825546716,G0F,G1F
2,1,4,2,0,125,143424,1,7,154920.97174631234,154917.34356,3.6281863123294897,23.420142825546716,G1F,G0F
2,1,4,2,0,143,218988,0,8,155878.51193718053,155874.34356,4.168377180525567,26.741906880403654,G0F,G1F
2,1,4,2,0,143,218988,0,8,155878.51193718053,155874.34356,4.168377180525567,26.741906880403654,G1F,G0F
2,2,4,2,0,4,288,0,0,148381.3604670571,148380.48440000002,0.8760670570773073,5.904193267866884,G0F,G2F
2,2,4,2,0,4,288,0,0,148381.3604670571,148380.48440000002,0.8760670570773073,5.904193267866884,G1F,G1F
2,2,4,2,0,4,288,0,0,148381.3604670571,148380.48440000002,0.8760670570773073,5.904193267866884,G2F,G0F
2,2,4,2,0,20,2342,1,1,149339.03381713538,149337.48440000002,1.5494171353639103,10.375272769519816,G0F,G2F
2,2,4,2,0,20,2342,1,1,149339.03381713538,149337.48440000002,1.5494171353639103,10.375272769519816,G1F,G1F
2,2,4,2,0,20,2342,1,1,149339.03381713538,149337.48440000002,1.5494171353639103,10.375272769519816,G2F,G0F
2,2,4,2,0,37,7104,1,2,150293.13529885243,150294.48440000002,-1.3491011475853156,-8.976384948330915,G0F,G2F
2,2,4,2,0,37,7104,1,2,150293.13529885243,150294.48440000002,-1.3491011475853156,-8.976384948330915,G1F,G1F
2,2,4,2,0,37,7104,1,2,150293.13529885243,150294.48440000002,-1.3491011475853156,-8.976384948330915,G2F,G0F
2,2,4,2,0,38,7104,3,2,150297.00989321742,150294.48440000002,2.525493217399344,16.80363206595054,G0F,G2F
2,2,4,2,0,38,7104,3,2,150297.00989321742,150294.48440000002,2.525493217399344,16.80363206595054,G1F,G1F
2,2,4,2,0,38,7104,3,2,150297.00989321742,150294.48440000002,2.525493217399344,16.80363206595054,G2F,G0F
2,2,4,2,0,59,19257,0,3,151255.6145122389,151251.48440000002,4.130112238897709,27.306259209828347,G0F,G2F
2,2,4,2,0,59,19257,0,3,151255.6145122389,151251.48440000002,4.130112238897709,27.306259209828347,G1F,G1F
2,2,4,2,0,59,19257,0,3,151255.6145122389,151251.48440000002,4.130112238897709,27.306259209828347,G2F,G0F
2,2,4,2,0,75,33626,0,4,152213.4788043543,152208.48440000002,4.994404354278231,32.81291692750231,G0F,G2F
2,2,4,2,0,75,33626,0,4,152213.4788043543,152208.48440000002,4.994404354278231,32.81291692750231,G1F,G1F
2,2,4,2,0,75,33626,0,4,152213.4788043543,152208.48440000002,4.994404354278231,32.81291692750231,G2F,G0F
2,2,4,2,0,110,100047,1,6,154124.6340589028,154122.48440000002,2.149658902781084,13.947730671158867,G0F,G2F
2,2,4,2,0,110,100047,1,6,154124.6340589028,154122.48440000002,2.149658902781084,13.947730671158867,G1F,G1F
2,2,4,2,0,110,100047,1,6,154124.6340589028,154122.48440000002,2.149658902781084,13.947730671158867,G2F,G0F
2,2,4,2,0,129,156815,1,7,155083.2144382572,155079.48440000002,3.7300382571702357,24.052428801924975,G0F,G2F
2,2,4,2,0,129,156815,1,7,155083.2144382572,155079.48440000002,3.7300382571702357,24.052428801924975,G1F,G1F
2,2,4,2,0,129,156815,1,7,155083.2144382572,155079.48440000002,3.7300382571702357,24.052428801924975,G2F,G0F
2,2,4,2,1,44,9729,0,2,150585.6921439505,150585.73946,-0.04731604951666668,-0.3142133490617497,G0F,G2FSA1
2,2,4,2,1,44,9729,0,2,150585.6921439505,150585.73946,-0.04731604951666668,-0.3142133490617497,G2FSA1,G0F
2,2,4,2,1,79,38981,1,4,152504.67775168343,152499.73946,4.938291683414718,32.382295870807106,G0F,G2FSA1
2,2,4,2,1,79,38981,1,4,152504.67775168343,152499.73946,4.938291683414718,32.382295870807106,G2FSA1,G0F
2,2,4,2,1,99,73388,2,5,153459.8377500338,153456.73946,3.0982900337839965,20.18998999122874,G0F,G2FSA1
2,2,4,2,1,99,73388,2,5,153459.8377500338,153456.73946,3.0982900337839965,20.18998999122874,G2FSA1,G0F
2,2,4,2,1,135,181196,1,7,155374.95749116724,155370.73946,4.218031167227309,27.148169480864418,G0F,G2FSA1
2,2,4,2,1,135,181196,1,7,155374.95749116724,155370.73946,4.218031167227309,27.148169480864418,G2FSA1,G0F
2,2,4,2,2,14,1324,2,0,148963.80596324356,148962.99452,0.8114432435540948,5.447280689870592,G0F,G2FSA2
2,2,4,2,2,14,1324,2,0,148963.80596324356,148962.99452,0.8114432435540948,5.447280689870592,G2FSA2,G0F
2,2,4,2,2,68,26299,0,3,151830.86567117958,151833.99452,-3.128848820429994,-20.607037510416372,G0F,G2FSA2
2,2,4,2,2,68,26299,0,3,151830.86567117958,151833.99452,-3.128848820429994,-20.607037510416372,G2FSA2,G0F
2,3,4,2,0,8,646,1,0,148541.783785067,148542.62524000002,-0.8414549330191221,-5.664737186781135,G1F,G2F
2,3,4,2,0,8,646,1,0,148541.783785067,148542.62524000002,-0.8414549330191221,-5.664737186781135,G2F,G1F
2,3,4,2,0,23,3060,1,1,149496.3365377475,149499.62524000002,-3.288702252524672,-21.998063521865934,G1F,G2F
2,3,4,2,0,23,3060,1,1,149496.3365377475,149499.62524000002,-3.288702252524672,-21.998063521865934,G2F,G1F
2,3,4,2,0,42,9082,0,2,150459.8116550554,150456.62524000002,3.186415055388352,21.178296737053355,G1F,G2F
2,3,4,2,0,42,9082,0,2,150459.8116550554,150456.62524000002,3.186415055388352,21.178296737053355,G2F,G1F
2,3,4,2,0,61,20539,3,3,151416.09344652473,151413.62524000002,2.468206524703419,16.30108598741466,G1F,G2F
2,3,4,2,0,61,20539,3,3,151416.09344652473,151413.62524000002,2.468206524703419,16.30108598741466,G2F,G1F
2,3,4,2,0,62,20539,5,3,151417.80457322465,151413.62524000002,4.179333224630682,27.602094712455226,G1F,G2F
2,3,4,2,0,62,20539,5,3,151417.80457322465,151413.62524000002,4.179333224630682,27.602094712455226,G2F,G1F
2,3,4,2,0,77,35975,0,4,152374.86435528117,152370.62524000002,4.239115281146951,27.821079518902618,G1F,G2F
2,3,4,2,0,77,35975,0,4,152374.86435528117,152370.62524000002,4.239115281146951,27.821079518902618,G2F,G1F
2,3,4,2,0,95,65712,1,5,153329.04858245968,153327.62524000002,1.4233424596604891,9.283013791106239,G1F,G2F
2,3,4,2,0,95,65712,1,5,153329.04858245968,153327.62524000002,1.4233424596604891,9.283013791106239,G2F,G1F
2,3,4,2,0,114,110943,2,6,154288.4021845605,154284.62524000002,3.7769445604644716,24.480369023090812,G1F,G2F
2,3,4,2,0,114,110943,2,6,154288.4021845605,154284.62524000002,3.7769445604644716,24.480369023090812,G2F,G1F
2,3,4,2,0,132,165835,2,7,155244.0846486958,155241.62524000002,2.4594086957804393,15.84245650596771,G1F,G2F
2,3,4,2,0,132,165835,2,7,155244.0846486958,155241.62524000002,2.4594086957804393,15.84245650596771,G2F,G1F
2,3,4,2,0,147,241786,0,8,156201.95784386067,156198.62524000002,3.3326038606464863,21.335679846899566,G1F,G2F
2,3,4,2,0,147,241786,0,8,156201.95784386067,156198.62524000002,3.3326038606464863,21.335679846899566,G2F,G1F
2,3,4,2,1,48,12253,1,2,150743.39708252702,150747.88030000002,-4.48321747299633,-29.73983756238813,G1F,G2FSA1
2,3,4,2,1,48,12253,1,2,150743.39708252702,150747.88030000002,-4.48321747299633,-29.73983756238813,G2FSA1,G1F
2,3,4,2,1,100,75947,0,5,153615.30824467965,153618.88030000002,-3.5720553203718737,-23.252710300947776,G1F,G2FSA1
2,3,4,2,1,100,75947,0,5,153615.30824467965,153618.88030000002,-3.5720553203718737,-23.252710300947776,G2FSA1,G1F
2,4,4,2,0,80,40146,1,4,152536.94594220162,152532.76608,4.17986220162129,27.403044664049734,G2F,G2F
2,4,4,2,0,118,120272,2,6,154450.42082463996,154446.76608,3.65474463996361,23.663458502397734,G2F,G2F
2,4,4,2,1,141,204054,2,7,155695.4035864121,155695.02114000003,0.38244641208439134,2.4563817730593827,G2F,G2FSA1
2,4,4,2,1,141,204054,2,7,155695.4035864121,155695.02114000003,0.38244641208439134,2.4563817730593827,G2FSA1,G2F
2,4,4,2,2,58,18590,3,2,151197.0265054142,151201.27620000002,-4.249694585829275,-28.10620844369086,G2F,G2FSA2
2,4,4,2,2,58,18590,3,2,151197.0265054142,151201.27620000002,-4.249694585829275,-28.10620844369086,G2FSA1,G2FSA1
2,4,4,2,2,58,18590,3,2,151197.0265054142,151201.27620000002,-4.249694585829275,-28.10620844369086,G2FSA2,G2F
2,4,4,2,4,50,13151,3,1,150829.4751342617,150826.78632,2.68881426169537,17.827166694320972,G2FSA2,G2FSA2
