Name,Composition,Sites
M5,"5 Hex, 2 HexNAc","ch_A, ch_B"
A2G0,"3 Hex, 4 HexNAc","ch_A, ch_B"
A2G1,"4 Hex, 4 HexNAc","ch_A, ch_B"
A2G2,"5 Hex, 4 HexNAc","ch_A, ch_B"
A2G0F,"3 Hex, 4 HexNAc, 1 Fuc","ch_A, ch_B"
A2G1F,"4 Hex, 4 HexNAc, 1 Fuc","ch_A, ch_B"
A2G2F,"5 Hex, 4 HexNAc, 1 Fuc","ch_A, ch_B"
A2S1G1F,"5 Hex, 4 HexNAc, 1 Fuc, 1 Neu5Ac","ch_A, ch_B"
A2S2F,"5 Hex, 4 HexNAc, 1 Fuc, 2 Neu5Ac","ch_A, ch_B"
